state,GEOI,D,ruca1,ruca2,tract_pop,area,popden
AL,1001,20100,1,1,"1,912",3.8,504.8
AL,1001,20200,1,1,"2,170",1.3,"1,682.50"
AL,1001,20300,1,1,"3,373",2.1,"1,633.10"
AL,1001,20400,1,1,"4,386",2.5,"1,779.80"
AL,1001,20500,1,1,"10,766",4.4,"2,446.40"
AL,1001,20600,1,1,"3,668",3.1,"1,184.50"
AL,1001,20700,1,1,"2,891",8.7,334.1
AL,1001,20801,2,2,"3,081",48,64.2
AL,1001,20802,2,2,"10,435",73.7,141.6
AL,1001,20900,2,2,"5,675",113,50.2
AL,1001,21000,2,2,"2,894",149.4,19.4
AL,1001,21100,2,2,"3,320",184.6,18
AL,1003,10100,9,9,"3,804",375.1,10.1
AL,1003,10200,8,8,"2,902",85.6,33.9
AL,1003,10300,3,3,"7,826",132.7,59
AL,1003,10400,3,3,"4,736",284.6,16.6
AL,1003,10500,7,7,"4,815",6.7,713.5
AL,1003,10600,7,7,"3,325",7.2,463.8
AL,1003,10701,1,1.1,"7,882",42,187.8
AL,1003,10703,1,1.1,"13,166",55.7,236.4
AL,1003,10704,1,1.1,"5,055",3.2,"1,558.40"
AL,1003,10705,1,1.1,"8,331",6.7,"1,235.90"
AL,1003,10800,1,1.1,"6,861",7,982.8
AL,1003,10903,1,1.1,"5,173",21.5,241
AL,1003,10904,3,3,"6,831",106.6,64.1
AL,1003,10905,3,3,"8,011",27.5,291.8
AL,1003,10906,3,3,"4,302",15.2,283
AL,1003,11000,5,5,"4,305",50.4,85.5
AL,1003,11101,1,1.1,"8,397",12.9,648.8
AL,1003,11102,2,2,"3,715",17.5,212.1
AL,1003,11201,1,1.1,"4,230",4.8,886
AL,1003,11202,1,1.1,"5,065",5.2,964.8
AL,1003,11300,2,2,"4,487",25.4,177
AL,1003,11401,5,5,"10,632",63.6,167.1
AL,1003,11403,4,4,"9,131",32.9,277.4
AL,1003,11405,1,1,"3,832",6,640.6
AL,1003,11406,4,4,"3,412",13.2,258.9
AL,1003,11407,4,4,"4,799",13,368.9
AL,1003,11408,5,5,433,10.6,41
AL,1003,11501,4,4,"5,316",14.9,356.7
AL,1003,11502,4,4,"10,534",20,525.5
AL,1003,11601,5,5,"6,062",90.6,66.9
AL,1003,11602,1,1,"4,895",31.5,155.6
AL,1003,990000,99,99,0,0,
AL,1005,950100,7,7,"3,321",187.4,17.7
AL,1005,950200,8,8,"4,264",199.6,21.4
AL,1005,950300,10,10,"1,638",136.2,12
AL,1005,950400,10,10,"4,303",132.6,32.5
AL,1005,950500,8,8,"3,467",128.8,26.9
AL,1005,950600,7,7,"2,099",39.3,53.5
AL,1005,950700,7,7,"1,727",49.1,35.2
AL,1005,950800,7,7,"2,055",5.6,363.8
AL,1005,950900,7,7,"4,583",6.3,732.6
AL,1007,10001,2,2,"2,732",91,30
AL,1007,10002,2,2,"6,025",69.7,86.4
AL,1007,10003,2,2,"5,391",267.1,20.2
AL,1007,10004,2,2,"8,767",194.8,45
AL,1009,50101,7,7.1,"7,858",83.1,94.6
AL,1009,50102,7,7.1,"7,050",71.2,99
AL,1009,50200,2,2,"3,789",45.2,83.8
AL,1009,50300,9,9,"5,269",73.2,72
AL,1009,50400,10,10,"4,451",94.8,47
AL,1009,50500,3,3,"7,329",96,76.3
AL,1009,50601,2,2,"3,922",32.4,121.2
AL,1009,50602,2,2,"8,923",70.2,127
AL,1009,50700,2,2,"8,731",78.7,111
AL,1011,952100,2,2,"1,434",165.3,8.7
AL,1011,952200,2,2,"7,102",153.9,46.2
AL,1011,952500,2,2,"2,378",303.6,7.8
AL,1013,952700,7,7,"2,439",51.7,47.2
AL,1013,952800,7,7,"1,394",1.3,"1,045.50"
AL,1013,952900,10,10.3,"2,180",22.2,98.3
AL,1013,953000,8,8,"1,469",170.5,8.6
AL,1013,953100,7,7,"3,023",12.4,243.2
AL,1013,953200,8,8,"4,327",184.8,23.4
AL,1013,953300,2,2,"1,774",136,13
AL,1013,953400,10,10,"2,931",95.9,30.6
AL,1013,953500,2,2,"1,410",102.1,13.8
AL,1015,200,1,1,"3,104",2.6,"1,182.50"
AL,1015,300,1,1,"2,951",1,"2,916.20"
AL,1015,400,1,1,"2,812",3.9,718.8
AL,1015,500,1,1,"1,814",0.9,"2,004.60"
AL,1015,600,1,1,"2,191",2.6,835.2
AL,1015,700,1,1,"2,715",17.7,153.5
AL,1015,800,1,1,"1,379",1.4,979.8
AL,1015,900,1,1,"3,362",4.7,718.7
AL,1015,1000,1,1,"5,792",6.4,899.6
AL,1015,1100,1,1,"6,565",18.8,349.5
AL,1015,1201,1,1,"3,482",2.8,"1,231.50"
AL,1015,1202,1,1,"4,318",9.1,475.5
AL,1015,1300,1,1,"2,211",2.2,983.6
AL,1015,1400,1,1,"3,731",8.2,454.7
AL,1015,1500,1,1,"5,198",21,247
AL,1015,1600,1,1,"3,791",5.5,693.7
AL,1015,1700,1,1,"6,329",7.2,877.4
AL,1015,1800,1,1,"6,919",15.9,435.7
AL,1015,2000,2,2,"7,335",92.4,79.4
AL,1015,2101,1,1,"3,992",5.3,755.3
AL,1015,2102,1,1,"3,411",8,428.1
AL,1015,2103,1,1,"6,801",9.7,697.6
AL,1015,2200,2,2,"3,652",33.9,107.6
AL,1015,2300,2,2,"3,843",34.2,112.5
AL,1015,2400,2,2,"4,518",48.1,94
AL,1015,2501,2,2,"7,069",37.5,188.3
AL,1015,2502,2,2,"4,661",63.3,73.6
AL,1015,2600,2,2,"4,615",68.3,67.6
AL,1015,981901,2,2,6,24.3,0.2
AL,1015,981902,2,2,5,34.8,0.1
AL,1015,981903,10,10,0,13.9,0
AL,1017,953800,6,6,"3,619",199.2,18.2
AL,1017,953900,4,4,"2,900",38,76.4
AL,1017,954000,2,2,"6,669",261,25.6
AL,1017,954200,5,5,"3,257",24.3,134.2
AL,1017,954300,4,4,"4,708",51.3,91.7
AL,1017,954400,4,4,995,1.7,584.6
AL,1017,954500,4,4,"3,804",2.7,"1,417.90"
AL,1017,954600,4,4,"3,411",3.7,911.9
AL,1017,954700,4,4,"4,852",14.7,330.4
AL,1019,955701,2,2,"3,332",40,83.2
AL,1019,955702,3,3,"3,872",136.5,28.4
AL,1019,955800,2,2,"5,561",90.2,61.6
AL,1019,955900,3,3,"4,235",118.9,35.6
AL,1019,956000,3,3,"4,017",24,167.3
AL,1019,956100,2,2,"4,972",144,34.5
AL,1021,60101,7,7,"5,219",21.6,241.8
AL,1021,60102,7,7,"6,303",24.9,253.4
AL,1021,60200,8,8,"2,807",38.1,73.8
AL,1021,60300,2,2,"3,808",104.9,36.3
AL,1021,60401,2,2,"5,466",35.2,155.2
AL,1021,60402,2,2,"8,776",94.4,93
AL,1021,60500,10,10,"2,902",174.2,16.7
AL,1021,60600,9,9,"3,261",100.7,32.4
AL,1021,60700,8,8,"5,101",99,51.5
AL,1023,956700,5,5,"3,184",223,14.3
AL,1023,956800,10,10,"4,423",290.6,15.2
AL,1023,956900,10,10,"3,879",223.4,17.4
AL,1023,957000,10,10,"2,373",176.6,13.4
AL,1025,957500,8,8,"1,760",96.1,18.3
AL,1025,957601,10,10,998,189.1,5.3
AL,1025,957602,7,7,"5,515",74.7,73.9
AL,1025,957700,5,5,"1,329",142.9,9.3
AL,1025,957800,10,10.1,"5,488",321.5,17.1
AL,1025,957901,2,2,"3,493",145.1,24.1
AL,1025,957902,7,7,"4,230",41.6,101.6
AL,1025,958001,10,10.1,"1,289",54.7,23.6
AL,1025,958002,10,10,"1,731",172.7,10
AL,1027,958900,2,2,"5,324",198.1,26.9
AL,1027,959000,2,2,"3,224",69.3,46.5
AL,1027,959100,10,10,"2,904",147.9,19.6
AL,1027,959200,5,5,"2,480",188.6,13.1
AL,1029,959500,2,2,"2,684",189.8,14.1
AL,1029,959600,2,2,"4,202",94.1,44.6
AL,1029,959700,2,2,"3,419",161.7,21.1
AL,1029,959800,5,5,"4,667",114.4,40.8
AL,1031,10100,6,6,"2,057",93.8,21.9
AL,1031,10200,5,5,"1,841",80.4,22.9
AL,1031,10300,5,5,"4,258",113,37.7
AL,1031,10400,5,5,"2,152",81.2,26.5
AL,1031,10500,10,10,"4,558",77.5,58.8
AL,1031,10600,10,10,"1,561",49.4,31.6
AL,1031,10700,5,5,"2,286",82.4,27.7
AL,1031,10800,5,5,"2,840",52.9,53.7
AL,1031,10900,4,4,"2,117",7.8,270.6
AL,1031,11000,4,4,"3,526",11.1,318.3
AL,1031,11100,4,4,"2,026",1.3,"1,593.30"
AL,1031,11201,4,4,"8,036",15.7,511.5
AL,1031,11202,4,4,"8,530",4.8,"1,763.20"
AL,1031,11300,4,4,"4,160",7.6,547.9
AL,1033,20100,1,1,"3,467",1.7,"2,054.30"
AL,1033,20200,1,1,"1,957",0.8,"2,351.20"
AL,1033,20300,1,1,"2,032",2,"1,009.50"
AL,1033,20400,1,1,"1,530",2,753.5
AL,1033,20500,1,1,"5,221",9.1,572.7
AL,1033,20600,1,1,"4,128",3.8,"1,084.10"
AL,1033,20701,1,1,"6,103",43.6,140
AL,1033,20703,1,1,"5,175",3.1,"1,646.40"
AL,1033,20704,1,1,"4,321",2.8,"1,539.50"
AL,1033,20801,2,2,"4,487",45.9,97.7
AL,1033,20802,2,2,"3,766",83.1,45.3
AL,1033,20901,2,2,"4,327",51.4,84.2
AL,1033,20902,2,2,"3,972",100.1,39.7
AL,1033,21000,2,2,"3,942",243.1,16.2
AL,1035,960200,3,3,"1,808",217.8,8.3
AL,1035,960300,8,8,"1,731",151.2,11.5
AL,1035,960400,10,10,"3,251",185.4,17.5
AL,1035,960500,7,7,"1,771",35.1,50.4
AL,1035,960600,7,7,"4,667",260.6,17.9
AL,1037,961000,8,8,"3,956",97.1,40.8
AL,1037,961100,5,5,"3,927",303,13
AL,1037,961200,3,3,"3,656",250.9,14.6
AL,1039,961600,9,9,"4,133",138.8,29.8
AL,1039,961700,8,8,"4,032",194.6,20.7
AL,1039,961800,7,7,"3,129",17,184
AL,1039,961900,7,7,"2,127",16,133
AL,1039,962000,7,7,"3,917",19.3,203.2
AL,1039,962100,7,7,"2,011",6,337.4
AL,1039,962300,10,10,"3,279",107.7,30.5
AL,1039,962400,7,7,"3,144",59.7,52.6
AL,1039,962500,7,7,"1,524",4.8,315.3
AL,1039,962600,7,7,"1,517",4.6,329.5
AL,1039,962700,7,7,"1,686",5,334.8
AL,1039,962800,2,2,"1,736",96.5,18
AL,1039,962900,8,8,"1,846",204.8,9
AL,1039,963000,3,3,"3,684",155.7,23.7
AL,1041,963400,2,2,"1,925",92.2,20.9
AL,1041,963500,2,2,"1,903",87.4,21.8
AL,1041,963600,2,2,"3,180",144.5,22
AL,1041,963700,3,3,"3,809",99.5,38.3
AL,1041,963800,10,10,"1,681",105.7,15.9
AL,1041,963900,2,2,"1,408",79.6,17.7
AL,1043,964100,9,9,"5,582",56.8,98.2
AL,1043,964200,5,5,"7,373",59.6,123.8
AL,1043,964300,5,5,"5,001",34.7,144.2
AL,1043,964400,5,5,"4,112",29.6,139
AL,1043,964500,5,5,"4,180",83.4,50.1
AL,1043,964600,5,5,"4,007",51.3,78.1
AL,1043,964700,4,4,"4,643",27.4,169.6
AL,1043,964800,4,4,"4,289",3.6,"1,184.70"
AL,1043,964900,4,4,"6,683",18.4,363.9
AL,1043,965000,4,4,"6,071",9.1,670.5
AL,1043,965100,5,5,"3,578",20.9,170.8
AL,1043,965200,5,5,"2,309",21.5,107.3
AL,1043,965300,5,5,"4,539",54.1,83.9
AL,1043,965401,5,5,"3,310",24.4,135.5
AL,1043,965402,5,5,"4,189",48.5,86.3
AL,1043,965500,5,5,"5,631",72.3,77.9
AL,1043,965600,5,5,"2,257",43.8,51.5
AL,1043,965700,5,5.1,"2,652",75.4,35.2
AL,1045,20000,4,4.1,"4,642",66.5,69.8
AL,1045,20100,5,5.1,"3,823",140.7,27.2
AL,1045,20200,2,2,"2,067",95.7,21.6
AL,1045,20300,2,2,"2,396",42.8,55.9
AL,1045,20400,2,2,"2,542",23.9,106.3
AL,1045,20500,4,4.1,"2,049",4.3,472.5
AL,1045,20700,4,4.1,"3,518",4.7,746.6
AL,1045,20801,4,4.1,"3,361",7.4,453
AL,1045,20802,4,4.1,"4,351",14,311.8
AL,1045,21101,4,4,"4,893",13.1,372.5
AL,1045,21102,4,4,"4,387",8.9,493.1
AL,1045,21200,5,5,"2,696",38.9,69.4
AL,1045,21300,2,2,"4,034",57.3,70.4
AL,1045,21400,1,1,"5,492",42.9,128.2
AL,1047,956100,5,5,"6,753",122.8,55
AL,1047,956201,5,5,"2,550",48.4,52.7
AL,1047,956202,5,5,"2,327",70.4,33.1
AL,1047,956300,4,4,"3,791",6.8,559.2
AL,1047,956400,4,4,"3,150",1.6,"1,980.90"
AL,1047,956500,4,4,"3,811",2.6,"1,452.90"
AL,1047,956600,4,4,"3,811",1,"3,640.50"
AL,1047,956701,4,4,"1,855",2.8,657.3
AL,1047,956702,4,4,"1,602",2.4,654
AL,1047,956800,4,4,"2,789",3.6,778.3
AL,1047,956900,10,10,"2,804",208.9,13.4
AL,1047,957000,10,10,"1,274",348,3.7
AL,1047,957100,10,10,"1,345",79.2,17
AL,1047,957200,4,4,"1,754",13.2,132.5
AL,1047,957300,5,5,"4,204",66.8,62.9
AL,1049,960100,2,2,"5,937",78.3,75.8
AL,1049,960200,10,10,"3,530",44.1,80
AL,1049,960300,10,10,"6,908",41.9,165
AL,1049,960400,9,9,"6,483",53,122.3
AL,1049,960500,6,6,"5,373",82.7,65
AL,1049,960600,5,5,"6,393",82.8,77.2
AL,1049,960700,5,5,"8,628",58.4,147.6
AL,1049,960800,10,10,"4,498",79.9,56.3
AL,1049,960900,10,10,"3,809",51,74.7
AL,1049,961000,10,10,"3,914",45.1,86.8
AL,1049,961100,7,7,"3,258",13.1,248.9
AL,1049,961200,8,8,"2,107",16.9,124.7
AL,1049,961300,7,7,"5,967",35.3,169.1
AL,1049,961400,10,10,"4,304",94.7,45.5
AL,1051,30100,1,1,"10,104",63.6,159
AL,1051,30200,2,2,"4,757",108.4,43.9
AL,1051,30300,2,2,"2,464",46.3,53.3
AL,1051,30400,7,7.1,"7,712",122.3,63
AL,1051,30500,2,2,"4,695",63.8,73.5
AL,1051,30600,2,2,"7,405",50.5,146.5
AL,1051,30701,2,2,"6,257",35.8,174.9
AL,1051,30702,2,2,"3,678",40.8,90.1
AL,1051,30800,2,2,"5,784",20.9,277.1
AL,1051,30901,1,1,"6,234",10.5,595.5
AL,1051,30902,1,1,"3,699",11,335.9
AL,1051,31000,1,1,"6,516",9.1,717.3
AL,1051,31100,1,1,"4,221",4.1,"1,036.00"
AL,1051,31200,1,1,"1,809",19.1,94.7
AL,1051,31300,1,1,"3,968",12.3,321.6
AL,1053,969800,7,7,"5,955",364.5,16.3
AL,1053,969900,9,9,"4,361",119.5,36.5
AL,1053,970100,7,7,"4,516",40.7,111.1
AL,1053,970200,7,7,"1,739",3.4,515.9
AL,1053,970300,9,9,"3,632",128,28.4
AL,1053,970400,10,10,"5,744",175.5,32.7
AL,1053,970500,9,9,"4,819",65.3,73.9
AL,1053,970600,7,7,"4,035",33.1,122
AL,1053,970700,7,7,"3,518",15.2,230.7
AL,1055,200,1,1,"3,660",5.3,694.7
AL,1055,300,1,1,"2,684",1.6,"1,711.00"
AL,1055,400,1,1,"3,866",8.5,453
AL,1055,500,1,1,"1,814",1.2,"1,543.10"
AL,1055,600,1,1,"1,964",0.9,"2,163.60"
AL,1055,700,1,1,"1,376",0.5,"2,653.60"
AL,1055,800,1,1,"1,089",0.7,"1,479.50"
AL,1055,900,1,1,"2,698",4.6,586.8
AL,1055,1000,1,1,"1,286",0.6,"2,050.30"
AL,1055,1100,1,1,"4,729",8.3,572.2
AL,1055,1200,1,1,"3,546",1.7,"2,131.50"
AL,1055,1300,1,1,"2,571",1.9,"1,321.80"
AL,1055,1600,1,1,"3,524",4,875.9
AL,1055,1700,1,1,"1,638",3.5,465.2
AL,1055,10100,1,1,"2,059",12.6,163.8
AL,1055,10200,1,1,"5,518",11,503.5
AL,1055,10300,2,2,"2,918",41.6,70.2
AL,1055,10401,1,1,"3,471",2.8,"1,221.70"
AL,1055,10402,1,1,"5,504",32,172.2
AL,1055,10501,1,1,"8,191",19.4,422.5
AL,1055,10502,1,1,"4,988",22.1,225.3
AL,1055,10601,1,1,"5,295",15.3,345.4
AL,1055,10602,2,2,"3,984",63.9,62.4
AL,1055,10700,2,2,"3,769",33.7,111.7
AL,1055,10800,2,2,"2,953",50.7,58.2
AL,1055,10900,2,2,"1,721",36.9,46.6
AL,1055,11001,5,5,"4,613",33.7,137
AL,1055,11002,5,5,"4,765",35.7,133.5
AL,1055,11100,3,3,"5,302",79.3,66.8
AL,1055,11200,1,1,"2,934",1,"3,075.40"
AL,1057,20000,3,3,"1,469",120.3,12.2
AL,1057,20100,3,3,"3,669",142.2,25.8
AL,1057,20200,7,7,"4,499",59.8,75.3
AL,1057,20300,7,7,"4,054",140.3,28.9
AL,1057,20400,2,2,"3,550",165.1,21.5
AL,1059,972900,2,2,"4,008",61.8,64.9
AL,1059,973000,2,2,"5,373",8.9,603.3
AL,1059,973100,2,2,"2,378",117.1,20.3
AL,1059,973200,2,2,"3,919",11.1,354
AL,1059,973300,2,2,"3,452",64.3,53.7
AL,1059,973400,10,10,"2,652",73.9,35.9
AL,1059,973500,10,10,"2,231",56.3,39.6
AL,1059,973600,10,10,"1,795",105,17.1
AL,1059,973700,10,10,"5,896",135.5,43.5
AL,1061,50100,9,9,"5,098",166.8,30.6
AL,1061,50200,2,2,"2,323",84.4,27.5
AL,1061,50300,2,2,"5,412",56.2,96.3
AL,1061,50400,2,2,"5,907",131.4,45
AL,1061,50500,2,2,"4,288",72.6,59.1
AL,1061,50600,2,2,"3,762",63.1,59.7
AL,1063,60000,2,2,"1,814",232.7,7.8
AL,1063,60100,2,2,"4,410",194,22.7
AL,1063,60200,2,2,"2,821",220.4,12.8
AL,1065,40000,2,2,"3,534",133.7,26.4
AL,1065,40100,2,2,"1,582",95.3,16.6
AL,1065,40200,2,2,"1,590",111.1,14.3
AL,1065,40300,2,2,"2,093",102.7,20.4
AL,1065,40400,2,2,"5,399",88.1,61.3
AL,1065,40500,2,2,"1,562",113.1,13.8
AL,1067,30100,2,2,"1,910",138.2,13.8
AL,1067,30200,2,2,"2,962",34.6,85.5
AL,1067,30300,8,8,"3,093",130.5,23.7
AL,1067,30400,2,2,"1,842",75.8,24.3
AL,1067,30500,2,2,"5,951",62,95.9
AL,1067,30600,2,2,"1,544",120.6,12.8
AL,1069,40100,2,2,"4,949",53.2,92.9
AL,1069,40201,1,1,"9,001",7.1,"1,264.50"
AL,1069,40202,1,1,"8,142",10.2,800.2
AL,1069,40301,1,1,"3,928",2.5,"1,582.90"
AL,1069,40302,1,1,"3,589",3.9,922.9
AL,1069,40400,1,1,"2,484",1.6,"1,560.30"
AL,1069,40500,1,1,"3,458",1.7,"2,065.60"
AL,1069,40600,1,1,"2,471",1,"2,431.50"
AL,1069,40700,1,1,"2,662",0.9,"2,970.10"
AL,1069,40800,1,1,"7,774",19.8,392.7
AL,1069,40900,1,1,"4,657",10.1,461.3
AL,1069,41000,1,1,"5,145",2.1,"2,475.60"
AL,1069,41100,1,1,"3,849",3.1,"1,241.10"
AL,1069,41200,1,1,"2,539",0.9,"2,969.90"
AL,1069,41400,1,1,"3,093",5.8,532.8
AL,1069,41500,1,1,"4,173",17.1,244.4
AL,1069,41600,2,2,"5,377",55.2,97.4
AL,1069,41700,2,2,"1,402",43.6,32.2
AL,1069,41800,2,2,"2,305",118.3,19.5
AL,1069,41900,2,2,"7,572",69.2,109.5
AL,1069,42000,2,2,"5,683",78.8,72.1
AL,1069,42100,2,2,"7,294",73.9,98.7
AL,1071,950100,2,2,"6,749",134.6,50.1
AL,1071,950200,7,7.1,"3,516",35.8,98.2
AL,1071,950300,10,10,"5,897",214.5,27.5
AL,1071,950400,2,2,"2,119",213.2,9.9
AL,1071,950500,2,2,"3,518",99.9,35.2
AL,1071,950600,5,5,"5,951",107.7,55.3
AL,1071,950700,4,4,"4,272",53.3,80.2
AL,1071,950800,4,4,"4,059",4.4,925.5
AL,1071,950900,4,4,"5,613",28.8,194.9
AL,1071,951000,6,6,"4,438",76.2,58.3
AL,1071,951100,6,6,"7,095",109.7,64.7
AL,1073,100,1,1,"3,042",2.9,"1,043.60"
AL,1073,300,1,1,"2,735",0.8,"3,384.30"
AL,1073,400,1,1,"3,338",3.1,"1,080.50"
AL,1073,500,1,1,"2,864",1.9,"1,539.20"
AL,1073,700,1,1,"2,577",1.4,"1,895.80"
AL,1073,800,1,1,"3,859",3.9,998.2
AL,1073,1100,1,1,"5,355",4.4,"1,213.60"
AL,1073,1200,1,1,"2,876",3.3,868.1
AL,1073,1400,1,1,"2,181",0.9,"2,520.30"
AL,1073,1500,1,1,"3,189",0.7,"4,338.30"
AL,1073,1600,1,1,"3,390",1,"3,318.80"
AL,1073,1902,1,1,"1,894",1.3,"1,468.00"
AL,1073,2000,1,1,"3,885",1.4,"2,791.10"
AL,1073,2100,1,1,"3,186",1.1,"3,002.80"
AL,1073,2200,1,1,"2,630",0.7,"3,614.30"
AL,1073,2303,1,1,"2,936",1.2,"2,370.00"
AL,1073,2305,1,1,"2,952",0.8,"3,564.10"
AL,1073,2306,1,1,"3,259",1.8,"1,782.10"
AL,1073,2400,1,1,"3,629",3.2,"1,127.10"
AL,1073,2700,1,1,"3,992",1.7,"2,318.20"
AL,1073,2900,1,1,"2,064",0.9,"2,289.90"
AL,1073,3001,1,1,"3,779",0.9,"4,014.40"
AL,1073,3002,1,1,"2,203",0.7,"3,208.60"
AL,1073,3100,1,1,"3,637",0.9,"4,187.50"
AL,1073,3200,1,1,931,0.4,"2,081.90"
AL,1073,3300,1,1,947,0.8,"1,248.70"
AL,1073,3400,1,1,"2,477",0.8,"3,131.60"
AL,1073,3500,1,1,"2,795",2.9,978.9
AL,1073,3600,1,1,"4,683",0.9,"5,236.80"
AL,1073,3700,1,1,"5,063",0.9,"5,420.50"
AL,1073,3802,1,1,"5,409",1.3,"4,317.10"
AL,1073,3803,1,1,"4,199",1,"4,025.90"
AL,1073,3900,1,1,"1,783",0.9,"2,068.30"
AL,1073,4000,1,1,"3,772",0.9,"4,131.40"
AL,1073,4200,1,1,"2,341",1.2,"1,983.90"
AL,1073,4500,1,1,"5,003",1.2,"4,290.30"
AL,1073,4701,1,1,"3,480",0.4,"8,015.40"
AL,1073,4702,1,1,"2,944",1,"2,999.20"
AL,1073,4800,1,1,"1,861",0.5,"3,844.10"
AL,1073,4901,1,1,"1,167",0.4,"3,151.00"
AL,1073,4902,1,1,"3,146",0.4,"7,094.00"
AL,1073,5000,1,1,"3,482",0.9,"3,722.20"
AL,1073,5101,1,1,"1,507",0.3,"5,253.10"
AL,1073,5103,1,1,"2,587",0.7,"3,853.00"
AL,1073,5104,1,1,"3,648",0.7,"5,216.40"
AL,1073,5200,1,1,"3,740",1.8,"2,107.80"
AL,1073,5302,1,1,"3,463",1.9,"1,785.10"
AL,1073,5500,1,1,"2,167",3.4,637.5
AL,1073,5600,1,1,"4,578",1.7,"2,773.50"
AL,1073,5701,1,1,"2,372",1.3,"1,881.40"
AL,1073,5702,1,1,"3,413",1.1,"3,166.30"
AL,1073,5800,1,1,"4,216",1,"4,301.90"
AL,1073,5903,1,1,"4,950",3.1,"1,611.30"
AL,1073,5905,1,1,"5,174",2.1,"2,450.90"
AL,1073,5907,1,1,"2,096",0.8,"2,500.00"
AL,1073,5908,1,1,"4,101",1.1,"3,624.00"
AL,1073,5909,1,1,"2,539",1.7,"1,456.20"
AL,1073,5910,1,1,"5,234",2.8,"1,861.50"
AL,1073,10001,1,1,"5,289",4.3,"1,232.20"
AL,1073,10002,1,1,"4,932",3.5,"1,404.80"
AL,1073,10100,1,1,"2,007",0.9,"2,150.80"
AL,1073,10200,1,1,"2,743",1.4,"1,953.30"
AL,1073,10301,1,1,"2,685",0.8,"3,348.70"
AL,1073,10302,1,1,"4,117",2,"2,026.20"
AL,1073,10401,1,1,"3,765",1.5,"2,462.70"
AL,1073,10402,1,1,"1,855",0.9,"1,978.40"
AL,1073,10500,1,1,"1,628",1.4,"1,203.90"
AL,1073,10602,1,1,"6,266",2.3,"2,725.30"
AL,1073,10603,1,1,"2,437",0.7,"3,632.40"
AL,1073,10701,1,1,"2,218",0.4,"5,983.80"
AL,1073,10702,1,1,"4,484",1.2,"3,682.30"
AL,1073,10703,1,1,"2,304",0.8,"2,973.80"
AL,1073,10704,1,1,"4,892",1.3,"3,757.30"
AL,1073,10705,1,1,"3,487",0.8,"4,201.20"
AL,1073,10706,1,1,"4,880",2.9,"1,693.60"
AL,1073,10801,1,1,"5,792",1.9,"2,992.40"
AL,1073,10802,1,1,"3,448",2.2,"1,596.00"
AL,1073,10803,1,1,"6,514",3.3,"1,957.40"
AL,1073,10804,1,1,"2,984",2.7,"1,101.20"
AL,1073,10805,1,1,"7,367",8,919.2
AL,1073,10900,1,1,"4,989",2.1,"2,332.90"
AL,1073,11001,1,1,"5,663",7.2,781.5
AL,1073,11002,1,1,"2,171",4.9,439.8
AL,1073,11104,1,1,"7,903",5.3,"1,482.00"
AL,1073,11107,1,1,"10,433",23.4,445.7
AL,1073,11108,1,1,"4,548",3.5,"1,285.20"
AL,1073,11109,1,1,"4,123",6.6,625.4
AL,1073,11110,1,1,"5,677",15.5,365.4
AL,1073,11111,1,1,"8,018",21.9,366.1
AL,1073,11205,1,1,"2,087",3.7,565.6
AL,1073,11206,1,1,"5,686",20.5,276.7
AL,1073,11207,1,1,"5,010",2.1,"2,395.40"
AL,1073,11208,1,1,"3,975",2.9,"1,370.70"
AL,1073,11209,1,1,"3,221",1.6,"1,981.90"
AL,1073,11210,1,1,"3,820",3.5,"1,098.90"
AL,1073,11301,2,2,"3,621",24.2,149.7
AL,1073,11302,1,1,"6,267",19.8,316.3
AL,1073,11400,2,2,"6,581",43.7,150.5
AL,1073,11500,2,2,"5,902",35.6,165.9
AL,1073,11600,1,1,"4,027",40.8,98.7
AL,1073,11703,1,1,"9,111",11.8,773
AL,1073,11704,1,1,"3,984",25.9,154
AL,1073,11705,1,1,"7,695",15.5,496.3
AL,1073,11706,2,2,"2,394",23.9,100
AL,1073,11802,1,1,"7,512",2.3,"3,319.50"
AL,1073,11803,1,1,"4,802",1.5,"3,154.50"
AL,1073,11804,1,1,"2,978",1.2,"2,578.80"
AL,1073,11901,1,1,"2,957",11.7,253
AL,1073,11904,1,1,"2,337",4.1,563.6
AL,1073,12001,1,1,"4,408",14.2,310.6
AL,1073,12002,1,1,"6,387",12.2,522.7
AL,1073,12103,1,1,"4,146",11.2,370.8
AL,1073,12104,1,1,"3,024",22,137.7
AL,1073,12200,2,2,"4,160",44.6,93.4
AL,1073,12302,2,2,"3,829",65.4,58.6
AL,1073,12304,1,1,"2,611",2.9,896.1
AL,1073,12305,1,1,"7,947",6.1,"1,308.40"
AL,1073,12401,1,1,"3,737",1.8,"2,037.60"
AL,1073,12402,1,1,"3,077",5.1,605.3
AL,1073,12403,1,1,"3,592",12,299.6
AL,1073,12500,1,1,"4,454",11.8,378.6
AL,1073,12602,1,1,"2,973",8.1,365.2
AL,1073,12701,1,1,"3,537",10.3,345
AL,1073,12703,1,1,"5,593",11.9,468.5
AL,1073,12704,1,1,"2,131",17.7,120.4
AL,1073,12802,1,1,"2,759",1.1,"2,520.80"
AL,1073,12803,1,1,"4,734",3.1,"1,531.70"
AL,1073,12905,1,1,"4,277",2.9,"1,458.40"
AL,1073,12906,1,1,"6,671",2.8,"2,380.10"
AL,1073,12907,1,1,"4,831",2.7,"1,759.00"
AL,1073,12908,1,1,"4,746",1.5,"3,224.50"
